UTC0;Input0;136_0;134_0;97_0;98_0;125_0;127_0;128_0 (Info_to_ignore: TickSize: 0.01 PointValue: 1000)
1/4/2019 3:00:00 AM;47.75;0;0.826086956521739;0.102702960909291;-0.0132253177924368;0.336205085101905;6.00000000000023;40.9999999999997
1/4/2019 3:30:00 AM;47.86;0;0.804347826086957;0.116835686840922;0.000725926511355557;0.567346081109468;7.00000000000003;51.9999999999996
1/4/2019 4:00:00 AM;47.87;0;0.782608695652174;0.12737459534187;0.00901186800984263;0.588358898928334;6.00000000000023;52.9999999999994
1/4/2019 4:30:00 AM;47.95;0;0.760869565217391;0.140561778978324;0.0177592413170372;0.756461441479301;11.9999999999997;60.9999999999999
1/4/2019 5:00:00 AM;47.98;0;0.739130434782609;0.151684936767808;0.0231059192852171;0.819499894935897;9.00000000000034;63.9999999999993
1/4/2019 5:30:00 AM;47.92;0;0.717391304347826;0.153884733477312;0.0202445727957774;0.69342298802269;14.9999999999999;57.9999999999998
1/4/2019 6:00:00 AM;48.03;0;0.695652173913043;0.16262947752633;0.0231914534758363;0.924563984030254;26.9999999999996;68.9999999999998
1/4/2019 6:30:00 AM;48.19;0;0.673913043478261;0.180390978105741;0.0327623632441978;1.26076906913216;10.9999999999999;84.9999999999994
1/4/2019 7:00:00 AM;48.25;0;0.652173913043478;0.197037270831991;0.0395269247763583;1.38684597604538;32;90.9999999999997
1/4/2019 7:30:00 AM;48.42;0;0.630434782608696;0.221395052645079;0.0511077652715565;1.74406387896617;14.9999999999999;108
1/4/2019 8:00:00 AM;48.5;0;0.608695652173913;0.244337530673619;0.0592401946400771;1.91216642151712;7.00000000000003;116
1/4/2019 8:23:00 AM;48.59;0;0.592028985507246;0.266707420517363;0.0652880675870575;2.10128178188695;31.9999999999993;125
1/4/2019 8:53:00 AM;48.59;0;0.570289855072464;0.281194286685349;0.063819947004034;2.10128178188695;31.9999999999993;125
1/4/2019 9:23:00 AM;48.69;0;0.548550724637681;0.297317110188054;0.0639542164053915;2.31140996007563;21.9999999999999;134.999999999999
1/4/2019 9:53:00 AM;48.69;0;0.526811594202899;0.306560722787751;0.0585582632040706;2.31140996007563;21.9999999999999;134.999999999999
1/4/2019 10:23:00 AM;48.71;0;0.505072463768116;0.311904741516429;0.051121825546199;2.35343559571338;19.9999999999996;137
1/4/2019 10:53:00 AM;48.65;0;0.483333333333333;0.307750856001668;0.0375743520251506;2.22735868880016;25.9999999999998;131
1/4/2019 11:23:00 AM;48.87;0;0.461594202898551;0.318539112581256;0.0386900868837906;2.68964068081528;14.0000000000001;152.999999999999
1/4/2019 11:53:00 AM;48.83;0;0.439855072463768;0.32017049180935;0.0322571728895076;2.60558940953981;18;148.999999999999
1/4/2019 12:23:00 PM;48.73;0;0.418115942028986;0.309822763377689;0.0175275555662772;2.39546123135111;28.0000000000001;138.999999999999
1/4/2019 12:53:00 PM;48.67;0;0.396376811594203;0.29339850020898;0.000882633918054709;2.2693843244379;33.9999999999996;133
1/4/2019 1:23:00 PM;48.54;0;0.37463768115942;0.266816544732542;-0.0205594572467064;1.99621769279259;46.9999999999999;120
1/4/2019 1:29:00 PM;48.97;0;0.370289855072464;0.277251576256901;-0.00809954057787765;2.89976885900398;3.99999999999991;163
1/4/2019 1:51:00 PM;48.9;0;0.354347826086957;0.27668356304941;-0.00693404302829531;2.7526791342719;14.0000000000001;156
1/4/2019 2:08:00 PM;48.7;0;0.342028985507246;0.257131033464624;-0.0211892580904649;2.33242277789451;43;136
1/4/2019 2:27:00 PM;48.98;0;0.328260869565217;0.261218014177807;-0.0136818219018258;2.92078167682285;15.0000000000006;163.999999999999
1/4/2019 2:40:00 PM;49.29;0;0.318840579710145;0.286172565857051;0.00901818382193437;3.57217902920781;0.999999999999801;195
1/4/2019 2:52:00 PM;49.43;0;0.310144927536232;0.313630718131591;0.0291810688771801;3.86635847867198;11.9999999999997;209
1/4/2019 3:07:00 PM;49.36;0;0.299275362318841;0.325985330675671;0.0332285451370078;3.71926875393989;25;202
1/4/2019 3:25:00 PM;49.58;0;0.286231884057971;0.349499795424727;0.0453944079088508;4.18155074595502;7.00000000000003;223.999999999999
1/4/2019 3:39:00 PM;49.79;0;0.276086956521739;0.380692042217589;0.0612693237613706;4.62281992015128;11.9999999999997;245
1/4/2019 4:01:00 PM;49.38;0;0.260144927536232;0.368085488653954;0.0389302161581879;3.76129438957764;52.9999999999994;204
1/4/2019 4:10:00 PM;49.37;0;0.253623188405797;0.353216132002629;0.0192486876054907;3.74028157175876;53.9999999999999;202.999999999999
1/4/2019 4:17:00 PM;49.03;0;0.248550724637681;0.310418588962385;-0.0188390843478027;3.0258457659172;87.9999999999995;169
1/4/2019 4:25:00 PM;48.62;0;0.242753623188406;0.240643663914199;-0.0708912075167912;2.16432023534355;129;127.999999999999
1/4/2019 4:30:00 PM;48.48;0;0.239130434782609;0.172066230740661;-0.111574912552263;1.87014078587937;143;113.999999999999
1/4/2019 4:33:00 PM;48.75;0;0.23695652173913;0.137915065368333;-0.116580862339673;2.43748686698886;116;141
1/4/2019 4:51:00 PM;48.8;0;0.223913043478261;0.113575376653635;-0.112736440843496;2.5425509560832;111;145.999999999999
1/4/2019 5:08:00 PM;48.59;0;0.211594202898551;0.0764593769295345;-0.119881952454078;2.10128178188695;131.999999999999;125
1/4/2019 5:32:00 PM;48.72;0;0.194202898550725;0.0568789284057516;-0.111569920782289;2.37444841353225;119;138
1/4/2019 6:01:00 PM;48.63;0;0.173188405797101;0.0337104410619915;-0.107790726500839;2.18533305316243;127.999999999999;129
1/4/2019 6:31:00 PM;48.74;0;0.151449275362319;0.0239492564928128;-0.0940415288560142;2.41647404916999;116.999999999999;140
1/4/2019 7:01:00 PM;48.55;0;0.129710144927536;0.000871983608206506;-0.0936950413924963;2.01723051061146;136;120.999999999999
1/4/2019 7:29:00 PM;48.66;0;0.109420289855072;-0.00844350920575465;-0.082408427365166;2.24837150661902;125;131.999999999999
1/4/2019 7:59:00 PM;48.75;0;0.0876811594202899;-0.0084662627300176;-0.0659449447115432;2.43748686698886;116;141
1/4/2019 8:29:00 PM;48.82;0;0.0659420289855072;-0.00280356235467139;-0.0482257954689576;2.58457659172094;109;148
1/4/2019 8:59:00 PM;48.92;0;0.0442028985507246;0.00964218366424774;-0.0286240395600308;2.79470476990964;98.9999999999995;158
1/4/2019 9:29:00 PM;48.94;0;0.022463768115942;0.0208786834378785;-0.01391003182912;2.83673040554737;96.9999999999999;159.999999999999
1/4/2019 9:59:00 PM;48.99;0;0.00072463768115942;0.0334328791757557;-0.00108466887299427;2.94179449464173;91.9999999999995;165
1/4/2019 10:00:00 PM;49;1;0;0.0436855068430475;0.00733436703543806;2.96280731246059;90.9999999999997;166
1/6/2019 11:25:00 PM;49.23;0;0.981884057971015;0.0695679301511092;0.0265734322747998;0.489895897121851;0;43
1/6/2019 11:55:00 PM;49.28;0;0.960144927536232;0.093041989094452;0.0400379929745141;0.591957542355581;7.00000000000003;48.0000000000004
1/7/2019 12:25:00 AM;49.34;0;0.938405797101449;0.115159363034742;0.0497242935318433;0.714431516636051;22.9999999999997;54.0000000000006
1/7/2019 12:55:00 AM;49.33;0;0.916666666666667;0.130377711699815;0.0519541137575329;0.694019187589296;24.0000000000002;53.0000000000001
1/7/2019 1:25:00 AM;49.2;0;0.894927536231884;0.130444763084704;0.0416169321139373;0.428658909981631;36.9999999999997;40.0000000000006
1/7/2019 1:55:00 AM;49.07;0;0.873188405797101;0.118640375843974;0.023850035898566;0.16329863237395;50;27.0000000000003
1/7/2019 2:25:00 AM;49.34;0;0.851449275362319;0.129578358765414;0.0278304150560051;0.714431516636051;22.9999999999997;54.0000000000006
1/7/2019 2:55:00 AM;49.3;0;0.829710144927536;0.133480443860378;0.0253860001207753;0.632782200449061;27.0000000000003;50
1/7/2019 3:25:00 AM;49.31;0;0.807971014492754;0.135814209175692;0.022175812348871;0.653194529495816;25.9999999999998;51.0000000000005
1/7/2019 3:55:00 AM;49.17;0;0.786231884057971;0.12492682634096;0.00903074361131176;0.367421922841396;39.9999999999999;37.0000000000005
1/7/2019 4:25:00 AM;49.4;0;0.764492753623188;0.133320736355444;0.013939722900636;0.836905490916507;17.0000000000002;60.0000000000001
1/7/2019 4:55:00 AM;49.36;0;0.742753623188406;0.135186953758748;0.0126447522431519;0.755256174729531;21.0000000000001;56.0000000000002
